==============================================================================
RESOCONTO - ijepa_vit_small_completa - epoca 150/300
DA BATTERE - encoder casuale: downstream = 0.7512   (sonda lineare 0.7477)
==============================================================================
 epoca  DOWNSTREAM  PR-AUC5   lineare     k-NN   rango  R2 int  R2 dim
     4         nan      nan    0.7432   0.7394    2.91     nan     nan
     9      0.7527   0.8725    0.7529   0.7338    2.87   0.992   0.886
    14         nan      nan    0.7499   0.7327    2.59     nan     nan
    19      0.7481   0.8570    0.7595   0.7122    2.36   0.991   0.886
    24         nan      nan    0.7649   0.6870    2.36     nan     nan
    29      0.7502   0.8645    0.7518   0.6494    2.49   0.991   0.886
    34         nan      nan    0.7404   0.5882    2.68     nan     nan
    39      0.7542   0.8695    0.7442   0.5455    2.92   0.991   0.887
    44         nan      nan    0.7506   0.4952    3.22     nan     nan
    49      0.7582   0.8739    0.7435   0.4628    3.57   0.992   0.887
    54         nan      nan    0.7367   0.4151    3.91     nan     nan
    59      0.7700   0.8663    0.7359   0.4116    4.20   0.991   0.883
    64         nan      nan    0.7364   0.3962    4.48     nan     nan
    69      0.7447   0.8659    0.7376   0.3880    4.77   0.991   0.881
    74         nan      nan    0.7478   0.3828    5.07     nan     nan
    79      0.7468   0.8637    0.7394   0.3867    5.38   0.990   0.878
    84         nan      nan    0.7486   0.3881    5.71     nan     nan
    89      0.7467   0.8615    0.7469   0.3912    6.06   0.990   0.875
    94         nan      nan    0.7446   0.4027    6.41     nan     nan
    99      0.7494   0.8709    0.7414   0.4168    6.77   0.988   0.871
   104         nan      nan    0.7365   0.4068    7.13     nan     nan
   109      0.7448   0.8680    0.7302   0.4161    7.48   0.987   0.867
   114         nan      nan    0.7291   0.4112    7.83     nan     nan
   119      0.7559   0.8706    0.7230   0.4162    8.19   0.986   0.864
   124         nan      nan    0.7219   0.4237    8.54     nan     nan
   129      0.7515   0.8741    0.7178   0.4141    8.88   0.985   0.866
   134         nan      nan    0.7154   0.4227    9.22     nan     nan
   139      0.7601   0.8766    0.7198   0.4330    9.55   0.985   0.866
   144         nan      nan    0.7203   0.4388    9.88     nan     nan
   149      0.7654   0.8700    0.7241   0.4340   10.21   0.984   0.866

Tendenza sulle ultime 3 sonde (downstream): in miglioramento (+0.0069 per sonda)
Migliore finora (downstream): 0.7700 all'epoca 59  (+0.0188 vs casuale)
==============================================================================
