==============================================================================
RESOCONTO - ijepa_vit_small_mask80 - epoca 200/300
DA BATTERE - encoder casuale: downstream = 0.7512   (sonda lineare 0.7477)
==============================================================================
 epoca  DOWNSTREAM  PR-AUC5   lineare     k-NN   rango  R2 int  R2 dim
     4         nan      nan    0.7469   0.7332    2.93     nan     nan
     9      0.7478   0.8641    0.7455   0.7308    2.96   0.991   0.886
    14         nan      nan    0.7448   0.7253    2.71     nan     nan
    19      0.7477   0.8593    0.7498   0.6979    2.54   0.990   0.886
    24         nan      nan    0.7428   0.6528    2.63     nan     nan
    29      0.7620   0.8690    0.7355   0.5973    2.87   0.989   0.884
    34         nan      nan    0.7394   0.5283    3.11     nan     nan
    39      0.7592   0.8692    0.7349   0.4187    3.34   0.988   0.879
    44         nan      nan    0.7297   0.3954    3.59     nan     nan
    49      0.7515   0.8607    0.7094   0.3604    3.85   0.989   0.874
    54         nan      nan    0.7157   0.3571    4.12     nan     nan
    59      0.7513   0.8585    0.7145   0.3533    4.41   0.988   0.874
    64         nan      nan    0.7280   0.3510    4.71     nan     nan
    69      0.7544   0.8575    0.7421   0.3440    5.04   0.987   0.870
    74         nan      nan    0.7465   0.3541    5.37     nan     nan
    79      0.7498   0.8730    0.7434   0.3492    5.70   0.986   0.867
    84         nan      nan    0.7385   0.3500    5.99     nan     nan
    89      0.7548   0.8702    0.7425   0.3501    6.19   0.985   0.863
    94         nan      nan    0.7367   0.3566    6.35     nan     nan
    99      0.7554   0.8700    0.7354   0.3508    6.41   0.984   0.860
   104         nan      nan    0.7317   0.3608    6.46     nan     nan
   109      0.7456   0.8686    0.7298   0.3572    6.48   0.983   0.857
   114         nan      nan    0.7194   0.3584    6.49     nan     nan
   119      0.7520   0.8749    0.7127   0.3577    6.50   0.983   0.854
   124         nan      nan    0.7149   0.3664    6.51     nan     nan
   129      0.7551   0.8732    0.7159   0.3531    6.54   0.982   0.853
   134         nan      nan    0.7182   0.3545    6.59     nan     nan
   139      0.7494   0.8359    0.7156   0.3578    6.60   0.982   0.852
   144         nan      nan    0.7147   0.3595    6.62     nan     nan
   149      0.7469   0.8744    0.7113   0.3485    6.65   0.981   0.852
   154         nan      nan    0.7113   0.3415    6.67     nan     nan
   159      0.7543   0.8710    0.7166   0.3470    6.71   0.981   0.851
   164         nan      nan    0.7148   0.3475    6.75     nan     nan
   169      0.7435   0.8665    0.7114   0.3466    6.81   0.980   0.846
   174         nan      nan    0.7153   0.3369    6.85     nan     nan
   179      0.7466   0.8775    0.7173   0.3432    6.90   0.979   0.846
   184         nan      nan    0.7161   0.3427    6.94     nan     nan
   189      0.7465   0.8697    0.7197   0.3457    6.98   0.979   0.845
   194         nan      nan    0.7196   0.3461    7.02     nan     nan
   199      0.7409   0.8715    0.7194   0.3445    7.08   0.979   0.844

Tendenza sulle ultime 3 sonde (downstream): in peggioramento (-0.0028 per sonda)
Migliore finora (downstream): 0.7620 all'epoca 29  (+0.0108 vs casuale)
==============================================================================
